Department,Date,Active Cases
HUANUCO,2020-04-09,7
ICA,2020-04-09,5
JUNIN,2020-04-09,14
LA LIBERTAD,2020-04-09,7
LAMBAYEQUE,2020-04-09,20
LIMA,2020-04-09,623
LORETO,2020-04-09,4
MADRE DE DIOS,2020-04-09,1
PASCO,2020-04-09,5
PIURA,2020-04-09,40
PUNO,2020-04-09,1
SAN MARTIN,2020-04-09,5
TUMBES,2020-04-09,1
ANCASH,2020-04-10,16
AREQUIPA,2020-04-10,2
AYACUCHO,2020-04-10,2
CALLAO,2020-04-10,88
CUSCO,2020-04-10,3
HUANUCO,2020-04-10,3
ICA,2020-04-10,15
JUNIN,2020-04-10,2
LA LIBERTAD,2020-04-10,5
LAMBAYEQUE,2020-04-10,59
LIMA,2020-04-10,789
LORETO,2020-04-10,7
MOQUEGUA,2020-04-10,4
PASCO,2020-04-10,1
PIURA,2020-04-10,36
TUMBES,2020-04-10,3
UCAYALI,2020-04-10,3
ANCASH,2020-04-11,25
APURIMAC,2020-04-11,2
AREQUIPA,2020-04-11,12
CAJAMARCA,2020-04-11,1
CALLAO,2020-04-11,303
CUSCO,2020-04-11,43
HUANCAVELICA,2020-04-11,2
HUANUCO,2020-04-11,7
ICA,2020-04-11,20
JUNIN,2020-04-11,8
LA LIBERTAD,2020-04-11,9
LAMBAYEQUE,2020-04-11,67
LIMA,2020-04-11,766
LORETO,2020-04-11,13
MADRE DE DIOS,2020-04-11,16
MOQUEGUA,2020-04-11,3
PASCO,2020-04-11,2
PIURA,2020-04-11,49
PUNO,2020-04-11,1
SAN MARTIN,2020-04-11,15
TUMBES,2020-04-11,39
UCAYALI,2020-04-11,1
AMAZONAS,2020-04-12,8
ANCASH,2020-04-12,7
AREQUIPA,2020-04-12,15
CAJAMARCA,2020-04-12,1
CALLAO,2020-04-12,38
HUANCAVELICA,2020-04-12,2
HUANUCO,2020-04-12,4
ICA,2020-04-12,3
JUNIN,2020-04-12,4
LA LIBERTAD,2020-04-12,3
LAMBAYEQUE,2020-04-12,56
LIMA,2020-04-12,517
LORETO,2020-04-12,25
MADRE DE DIOS,2020-04-12,14
PIURA,2020-04-12,32
TUMBES,2020-04-12,6
UCAYALI,2020-04-12,3
ANCASH,2020-04-13,19
APURIMAC,2020-04-13,7
AREQUIPA,2020-04-13,12
AYACUCHO,2020-04-13,5
CAJAMARCA,2020-04-13,4
CALLAO,2020-04-13,311
CUSCO,2020-04-13,1
HUANCAVELICA,2020-04-13,1
HUANUCO,2020-04-13,5
ICA,2020-04-13,27
JUNIN,2020-04-13,9
LA LIBERTAD,2020-04-13,23
LAMBAYEQUE,2020-04-13,59
LIMA,2020-04-13,712
LORETO,2020-04-13,26
MADRE DE DIOS,2020-04-13,5
MOQUEGUA,2020-04-13,2
PIURA,2020-04-13,31
PUNO,2020-04-13,1
TUMBES,2020-04-13,13
UCAYALI,2020-04-13,11
AMAZONAS,2020-04-14,8
ANCASH,2020-04-14,28
APURIMAC,2020-04-14,10
AREQUIPA,2020-04-14,13
AYACUCHO,2020-04-14,5
CAJAMARCA,2020-04-14,7
CALLAO,2020-04-14,83
CUSCO,2020-04-14,3
HUANCAVELICA,2020-04-14,1
HUANUCO,2020-04-14,10
ICA,2020-04-14,6
JUNIN,2020-04-14,33
LA LIBERTAD,2020-04-14,25
LAMBAYEQUE,2020-04-14,60
LIMA,2020-04-14,614
LORETO,2020-04-14,31
MADRE DE DIOS,2020-04-14,4
MOQUEGUA,2020-04-14,6
PASCO,2020-04-14,2
PIURA,2020-04-14,55
SAN MARTIN,2020-04-14,6
TACNA,2020-04-14,3
TUMBES,2020-04-14,22
UCAYALI,2020-04-14,6
AMAZONAS,2020-04-15,11
ANCASH,2020-04-15,42
APURIMAC,2020-04-15,4
AREQUIPA,2020-04-15,27
AYACUCHO,2020-04-15,4
CAJAMARCA,2020-04-15,10
CALLAO,2020-04-15,100
CUSCO,2020-04-15,1
HUANCAVELICA,2020-04-15,4
HUANUCO,2020-04-15,14
ICA,2020-04-15,14
JUNIN,2020-04-15,12
LA LIBERTAD,2020-04-15,27
LAMBAYEQUE,2020-04-15,176
LIMA,2020-04-15,776
LORETO,2020-04-15,12
MADRE DE DIOS,2020-04-15,7
MOQUEGUA,2020-04-15,4
PASCO,2020-04-15,3
PIURA,2020-04-15,77
PUNO,2020-04-15,4
SAN MARTIN,2020-04-15,13
TACNA,2020-04-15,2
TUMBES,2020-04-15,18
UCAYALI,2020-04-15,22
AMAZONAS,2020-04-16,3
ANCASH,2020-04-16,37
APURIMAC,2020-04-16,4
AREQUIPA,2020-04-16,41
AYACUCHO,2020-04-16,1
CAJAMARCA,2020-04-16,6
CALLAO,2020-04-16,100
CUSCO,2020-04-16,9
HUANCAVELICA,2020-04-16,6
HUANUCO,2020-04-16,11
ICA,2020-04-16,23
JUNIN,2020-04-16,28
LA LIBERTAD,2020-04-16,25
LAMBAYEQUE,2020-04-16,86
LIMA,2020-04-16,836
LORETO,2020-04-16,8
MADRE DE DIOS,2020-04-16,6
MOQUEGUA,2020-04-16,5
PASCO,2020-04-16,3
PIURA,2020-04-16,52
PUNO,2020-04-16,2
SAN MARTIN,2020-04-16,11
TACNA,2020-04-16,7
TUMBES,2020-04-16,12
UCAYALI,2020-04-16,7
AMAZONAS,2020-04-17,1
ANCASH,2020-04-17,25
APURIMAC,2020-04-17,6
AREQUIPA,2020-04-17,12
AYACUCHO,2020-04-17,4
CAJAMARCA,2020-04-17,10
CALLAO,2020-04-17,117
CUSCO,2020-04-17,12
HUANCAVELICA,2020-04-17,1
HUANUCO,2020-04-17,38
ICA,2020-04-17,22
JUNIN,2020-04-17,20
LA LIBERTAD,2020-04-17,26
LAMBAYEQUE,2020-04-17,77
LIMA,2020-04-17,572
LORETO,2020-04-17,58
MADRE DE DIOS,2020-04-17,5
MOQUEGUA,2020-04-17,5
PASCO,2020-04-17,3
PIURA,2020-04-17,49
PUNO,2020-04-17,4
SAN MARTIN,2020-04-17,12
TACNA,2020-04-17,9
TUMBES,2020-04-17,7
UCAYALI,2020-04-17,15
AMAZONAS,2020-04-18,3
ANCASH,2020-04-18,56
APURIMAC,2020-04-18,5
AREQUIPA,2020-04-18,33
CAJAMARCA,2020-04-18,7
CALLAO,2020-04-18,107
CUSCO,2020-04-18,15
HUANUCO,2020-04-18,20
ICA,2020-04-18,19
JUNIN,2020-04-18,14
LA LIBERTAD,2020-04-18,33
LAMBAYEQUE,2020-04-18,48
LIMA,2020-04-18,866
LORETO,2020-04-18,71
MADRE DE DIOS,2020-04-18,4
PASCO,2020-04-18,16
PIURA,2020-04-18,42
PUNO,2020-04-18,9
SAN MARTIN,2020-04-18,12
TACNA,2020-04-18,8
TUMBES,2020-04-18,6
UCAYALI,2020-04-18,19
AMAZONAS,2020-04-19,1
ANCASH,2020-04-19,10
AREQUIPA,2020-04-19,3
AYACUCHO,2020-04-19,3
CAJAMARCA,2020-04-19,2
CALLAO,2020-04-19,79
HUANCAVELICA,2020-04-19,2
HUANUCO,2020-04-19,4
ICA,2020-04-19,4
JUNIN,2020-04-19,5
LA LIBERTAD,2020-04-19,10
LAMBAYEQUE,2020-04-19,27
LIMA,2020-04-19,838
LORETO,2020-04-19,42
MOQUEGUA,2020-04-19,1
PASCO,2020-04-19,2
PIURA,2020-04-19,12
SAN MARTIN,2020-04-19,1
TACNA,2020-04-19,4
TUMBES,2020-04-19,6
UCAYALI,2020-04-19,22
AMAZONAS,2020-04-20,3
ANCASH,2020-04-20,34
APURIMAC,2020-04-20,1
AREQUIPA,2020-04-20,28
AYACUCHO,2020-04-20,3
CAJAMARCA,2020-04-20,11
CALLAO,2020-04-20,374
CUSCO,2020-04-20,15
HUANCAVELICA,2020-04-20,3
HUANUCO,2020-04-20,7
ICA,2020-04-20,28
JUNIN,2020-04-20,19
LA LIBERTAD,2020-04-20,53
